uye1;71;E;E;E
uye2;56;H;E;E
uye3;22;H;E;E
uye4;12;E;H;E
uye5;70;E;E;H
uye6;37;H;H;H
uye7;41;E;H;H
uye8;50;H;E;H
uye9;46;E;E;H
uye10;8;E;H;H
uye11;65;E;E;E
uye12;46;E;H;H
uye13;87;E;E;H
uye14;18;H;E;E
uye15;31;H;H;H
uye16;65;H;E;H
uye17;83;H;H;E
uye18;8;E;H;E
uye19;58;H;H;E
uye20;34;E;E;H
uye21;8;H;E;H
uye22;62;E;H;H
uye23;20;E;H;H
uye24;73;H;H;H
uye25;27;H;E;E
uye26;85;H;E;E
uye27;41;H;H;E
uye28;69;H;E;H
uye29;95;H;E;E
uye30;47;H;H;E
uye31;59;E;H;E
uye32;93;E;H;E
uye33;80;E;H;H
uye34;56;E;E;E
uye35;52;H;H;E
uye36;48;E;E;H
uye37;75;E;E;E
uye38;14;E;E;E
uye39;48;H;E;H
uye40;43;H;H;E
uye41;37;H;H;H
uye42;77;H;H;E
uye43;16;H;H;E
uye44;72;E;E;H
uye45;63;H;E;E
uye46;11;H;E;H
uye47;27;E;H;E
uye48;35;H;H;H
uye49;15;H;E;H
uye50;9;H;H;H
uye51;36;H;E;E
uye52;53;E;E;H
uye53;13;H;H;H
uye54;16;E;H;H
uye55;46;E;E;E
uye56;51;H;H;E
uye57;80;E;E;H
uye58;79;H;E;E
uye59;17;H;H;H
uye60;86;E;E;E
uye61;31;E;H;E
uye62;83;E;E;E
uye63;8;H;E;H
uye64;74;H;E;E
uye65;10;H;H;H
uye66;32;E;E;H
uye67;81;E;H;H
uye68;65;H;E;H
uye69;26;E;H;E
uye70;47;H;H;E
uye71;93;H;E;E
uye72;64;E;E;H
uye73;11;H;E;H
uye74;60;E;E;H
uye75;13;E;E;E
uye76;47;E;H;H
uye77;74;H;E;E
uye78;34;E;E;H
uye79;30;E;H;H
uye80;70;E;E;H
uye81;68;H;E;E
uye82;87;H;E;H
uye83;46;H;H;H
uye84;13;E;E;H
uye85;80;E;E;H
uye86;56;H;E;E
uye87;34;H;H;E
uye88;33;H;H;H
uye89;88;E;E;H
uye90;77;E;E;E
uye91;23;E;H;H
uye92;44;H;H;E
uye93;94;E;E;H
uye94;91;H;H;H
uye95;85;E;H;E
uye96;80;E;E;E
uye97;78;E;H;E
uye98;13;E;H;H
uye99;62;H;E;E
uye100;55;H;E;E
uye101;44;H;H;H
uye102;73;H;E;H
uye103;40;H;H;H
uye104;28;E;H;H
uye105;30;H;H;H
uye106;20;E;E;H
uye107;17;E;H;E
uye108;43;E;H;H
uye109;87;E;H;E
uye110;82;H;H;H
uye111;90;E;E;E
uye112;45;H;E;E
uye113;56;H;E;H
uye114;70;H;H;H
uye115;32;E;H;E
uye116;62;H;H;E
uye117;36;E;H;E
uye118;78;H;E;H
uye119;14;H;E;E
uye120;81;H;E;E
uye121;19;H;H;H
uye122;17;H;H;H
uye123;48;E;H;H
uye124;77;E;E;H
uye125;77;E;H;E
uye126;31;E;E;H
uye127;56;H;H;H
uye128;21;E;H;E
uye129;30;H;H;H
uye130;37;H;E;H
uye131;82;H;H;E
uye132;13;H;E;E
uye133;10;E;H;H
uye134;82;H;H;H
uye135;15;E;E;H
uye136;49;E;H;H
uye137;82;H;H;H
uye138;50;E;H;H
uye139;65;H;H;E
uye140;29;E;E;E
uye141;38;E;E;H
uye142;82;H;H;E
uye143;37;E;E;H
uye144;8;H;H;E
uye145;52;E;E;E
uye146;92;H;E;H
uye147;79;E;H;E
uye148;75;H;E;E
uye149;95;H;E;H
uye150;12;H;E;H
uye151;63;H;H;E
uye152;29;E;H;E
uye153;11;H;E;E
uye154;28;H;H;H
uye155;49;E;E;H
uye156;29;E;H;H
uye157;60;E;E;H
uye158;13;E;H;H
uye159;78;H;H;E
uye160;56;H;E;E
uye161;42;E;E;E
uye162;52;H;H;H
uye163;58;E;E;H
uye164;81;H;H;E
uye165;60;E;H;E
uye166;55;H;H;E
uye167;69;H;H;E
uye168;58;E;E;H
uye169;70;H;E;E
uye170;13;H;E;H
uye171;39;H;H;E
uye172;38;H;E;H
uye173;82;H;E;H
uye174;76;E;E;H
uye175;32;E;H;E
uye176;84;H;H;H
uye177;72;E;H;E
uye178;90;E;E;H
uye179;92;E;E;E
uye180;32;E;E;E
uye181;59;E;H;E
uye182;68;H;E;E
uye183;23;E;E;H
uye184;66;H;E;H
